campaign,publisher,date,installs,d90_arpu,d90_arpu_pred
736523,1867,2023-07-07,1,0.160017,1.1938861481201837
736523,1867,2023-07-08,1,3.779398,1.2901431709517641
736523,2003,2023-06-17,1,3.807806,1.587723714996442
736523,2003,2023-06-21,2,1.687047,1.4825523485919514
736523,2003,2023-06-25,1,0.3038059999999999,1.4418615454647055
736523,2003,2023-06-28,1,0.334069,1.277030251672776
736523,2003,2023-07-02,1,2.655553,1.2044280956053182
736523,2003,2023-07-10,1,0.0109385244,0.862398106942805
736523,2030,2023-06-13,1,24.571986,2.096322801849568
736523,2030,2023-06-26,1,0.013089,1.8049184653179604
736523,2030,2023-06-29,1,1.297759,1.7358640293367151
736523,2292,2023-06-18,1,0.568514,2.4458909488608
736523,2292,2023-06-21,1,3.103877671210441,2.421041308747233
736523,2292,2023-06-22,1,9.866876,2.3056963330438043
736523,2292,2023-06-23,1,3.073833,2.409815680881459
736523,2292,2023-06-24,1,7.266752,2.9729035005267717
736523,2292,2023-06-25,1,0.051787,2.204160024538251
736523,2292,2023-07-04,2,5.0467315,1.3369982845431143
736523,2292,2023-07-08,2,0.7154760564999999,1.5038927512519449
736523,2292,2023-07-09,2,3.1350591329218647,1.3021460504211764
736523,2292,2023-07-10,2,0.5893324222726607,1.1355675597157828
736523,2340,2023-06-08,4,1.48202975,1.383540303825155
736523,2340,2023-06-09,3,0.234108,1.3844650761750266
736523,2340,2023-06-10,3,0.7177319999999999,1.4180066051184015
736523,2340,2023-06-11,4,0.1464959999999999,1.4181411276538336
736523,2340,2023-06-12,1,0.6093706279999997,1.4709429165348578
736523,2340,2023-06-13,4,0.1158844999999999,1.4254457225368202
736523,2340,2023-06-14,2,0.7673195,1.4663367583113631
736523,2340,2023-06-15,2,0.0451914999999999,1.513035587643937
736523,2340,2023-06-16,9,0.5998517777777777,1.5320732272604916
736523,2340,2023-06-17,10,0.5391741999999999,1.4814020372402967
736523,2340,2023-06-18,9,1.1370423417023685,1.4189192921544176
736523,2340,2023-06-19,11,4.966552464453772,1.4817180595741226
736523,2340,2023-06-20,5,0.9380468,1.377192132753606
